code,num
C1072,733.5103268
C1128,1148.134393
C1456,438.3832315
C1840,413.9192461
C1332,1070.119388
C1563,1547.337475
C1794,887.0096215
C1640,438.8360565
C1377,302.8795684
C2072,229.1040992
C1472,481.5646562
C1006,345.0425817
C1083,435.5505001
C1311,-0.899354829
C2676,287.4410095
C2318,200.5014077
C1603,463.8494646
C2523,342.6803307
C2177,197.6968573
C2411,670.3404568
C2033,226.9630131
C1604,467.6641125
C2535,503.3718813
C1040,457.8181179
C2417,465.2902531
C1812,132.859341
C2253,152.1225253
C1294,619.4136085
C1772,531.4468444
C2646,546.0489562
C1152,984.4011486
C2423,201.1126771
C1844,463.9292012
C1318,149.5170393
C1729,178.162032
C1602,323.1054642
C1239,365.7158796
C1721,638.9564088
C1902,824.1111024
C1855,296.1847642
C2600,342.1972949
C1071,525.8893017
C2295,458.2856019
C1621,565.9680048
C1852,788.3561393
C2555,1200.460582
C1297,472.5292221
C2323,603.8314468
C2215,446.2972973
C2112,296.9352375
C1830,792.7663962
C2602,228.3451164
C2608,1094.684926
C1215,644.1873042
C2369,612.893843
C1158,373.6266502
C1887,646.7194503
C1189,238.7357698
C1637,540.5060163
C1225,283.3784368
C2374,382.6695282
C2397,602.3486507
C1105,883.0767295
C1782,469.3655556
C1629,306.2773499
C1708,270.760551
C2144,488.8020904
C1617,904.0737899
C1149,612.7602653
C1323,509.6176869
C1064,743.1239669
C1019,259.8588885
C2269,572.782415
C1416,836.6998931
C1250,953.8360601
C1741,491.5422371
C1016,652.2361822
C2675,693.2878118
C2436,655.3908832
C2039,792.905838
C1253,706.2616525
C2028,1110.884475
C1166,385.3957445
C1135,286.9978293
C1216,270.607656
C1593,237.6552947
C1826,259.3389034
C1827,413.3765436
C1564,304.8630651
C1495,885.2498153
C2653,859.0961127
C1392,598.6762547
C2128,405.7123394
C1282,562.141729
C1521,1050.773093
C2076,902.3580248
C1060,593.8970227
C2473,1046.405392
C2557,749.5120118
C1835,857.1596518
C2224,697.0339138
C2222,354.5728516
C2430,1583.586503
C2497,832.2366518
C1494,991.1956085
C1457,548.8405942
C1525,1119.844643
C1712,591.9983834
C2267,960.568858
C1623,345.5014217
C2131,1444.738523
C2691,1133.574748
C1147,758.5520489
C1692,1053.242365
C1570,859.606432
C1474,87.73032828
C1633,201.0681761
C2113,606.5003776
C2175,839.1910931
C2303,1337.577516
C2547,535.5226816
C2292,814.0286937
C1496,830.0161226
C1289,320.1403816
C1849,671.1166235
C1003,151.1682969
C2268,406.7026606
C2551,630.1382502
C2688,151.2204161
C1030,109.2722391
C1327,-87.96051027
C2451,752.4320225
C1749,466.0190104
C1349,266.4510357
C2043,154.3568566
C1229,336.0490272
C2363,311.1292511
C1414,509.9398886
C2174,451.0557855
C2091,124.7883774
C2335,-916.156299
C1841,102.7169447
C2404,75.97603777
C1683,122.3120814
C1038,215.8968154
C2456,254.8093492
C1266,438.8431178
C2152,-12.79110573
C1267,408.2990872
C2189,203.0104032
