code,num
C1072,715.1826094222695
C1128,1258.2851619762666
C1456,517.2979923334203
C1840,528.7419546410372
C1332,1168.3058025883402
C1563,1635.798703145534
C1794,831.0641053103285
C1640,480.55935486109564
C1377,353.30050925346404
C2072,272.61544156349237
C1472,439.404047460722
C1006,304.62861203472846
C1083,465.76539713421863
C1311,284.6973125631497
C2676,297.99368094762696
C2318,269.5254597049912
C1603,434.78677576019527
C2523,296.93582397519174
C2177,157.90054004302357
C2411,638.4650387303858
C2033,239.4844390475941
C1604,499.16341179087175
C2535,518.9324499329812
C1040,420.4755955913688
C2417,396.64338120105157
C1812,213.35694990596522
C2253,168.12712866292026
C1294,656.1707758039521
C1772,500.16818876500264
C2646,582.7957686846088
C1152,921.6979565097645
C2423,194.48756384515846
C1844,393.31770802317567
C1318,214.43741508408834
C1729,156.9074142423633
C1602,268.8688092455658
C1239,331.7904097517239
C1721,588.1174909395506
C1902,824.9684927570454
C1855,380.03507035135453
C2600,415.571799950019
C1071,506.191626927195
C2295,459.93063220063385
C1621,593.6338267901485
C1852,811.3358105287631
C2555,1209.971216580671
C1297,482.6969814984277
C2323,606.7118005908313
C2215,332.5460592051165
C2112,361.202933040768
C1830,818.7551986918701
C2602,255.4855477376479
C2608,1079.1863708869353
C1215,579.8704410059099
C2369,619.379839600549
C1158,300.2140254413007
C1887,610.13598603272
C1189,313.6062747636841
C1637,430.90075551079946
C1225,219.81487698697828
C2374,309.2102415438511
C2397,625.095117042969
C1105,955.8755588423417
C1782,473.1970851740007
C1629,217.27843802187127
C1708,248.43314662814055
C2144,519.1731565116183
C1617,1012.9062995768339
C1149,552.3054640308281
C1323,421.2782699946436
C1064,664.8148452894308
C1019,252.62009036868614
C2269,649.3548694134181
C1416,831.9706352214849
C1250,877.6138071293856
C1741,511.659864360459
C1016,661.4737195078081
C2675,954.3566890424266
C2436,683.0812481687411
C2039,786.2168275115329
C1253,750.5300400645671
C2028,1241.6273133499558
C1166,376.60095446525037
C1135,279.62880206427957
C1216,312.89447240706465
C1593,243.47707416029843
C1826,243.6283373715105
C1827,393.5870982319528
C1564,263.4026909680225
C1495,938.4119455628282
C2653,960.8712507671859
C1392,584.6708718909349
C2128,316.2640449683056
C1282,507.46585463229883
C1521,1037.1412493153762
C2076,951.8601701316886
C1060,621.1686328933753
C2473,1041.5488537748884
C2557,778.5901308962654
C1835,758.0888953844396
C2224,820.0519049522736
C2222,426.20874014827814
C2430,800.7970843013629
C2497,726.0671619192532
C1494,1112.3805133549417
C1457,610.8885617757812
C1525,1212.1592551175622
C1712,560.8493686360389
C2267,1005.6098555364082
C1623,303.33089639806656
C2131,562.9834810038856
C2691,1202.367742900529
C1147,804.470595115061
C1692,1057.0228944004139
C1570,752.904941352135
C1474,178.0654260955743
C1633,176.7587154846798
C2113,552.3259750169145
C2175,941.4484607996947
C2303,1519.9215567421277
C2547,561.407147661864
C2292,714.5726487007645
C1496,750.267653831353
C1289,366.48359755145856
C1849,725.2498966399103
C1003,202.5857264761558
C2268,405.7077427379043
C2551,529.8796080066254
C2688,157.71801761794478
C1030,140.81871355482275
C1327,117.74181759554703
C2451,535.5947370522056
C1749,516.0320900930457
C1349,229.05989908848701
C2043,183.57800784981654
C1229,264.9455604386455
C2363,456.42533714403146
C1414,459.3249084132973
C2174,413.47576715239694
C2091,164.90444111152652
C2335,401.04691248850446
C1841,97.08886840468983
C2404,140.67166578756823
C1683,196.39847002320516
C1038,348.244053858971
C2456,224.8028877939088
C1266,426.45037691943963
C2152,167.11674292357026
C1267,376.79504813265237
C2189,198.18897929626138
